0,1,2,3,4,5,6,7,8,9,10
0,40,153,95,326,469,1038,181,341,669,963
1,41,81,520,508,89,216,107,276,137,182
2,42,240,215,100,306,526,169,392,110,753
3,43,128,37,77,120,1005,744,451,600,632
4,44,109,48,8,229,207,225,1,41,81
45,5,100,169,825,258,240,259,407,735,1026
6,46,261,309,1035,419,274,806,348,334,99
47,7,880,1025,537,218,536,550,263,426,131
48,8,109,229,207,4,44,152,910,82,535
9,49,165,368,685,721,688,560,432,248,543
50,10,412,237,671,130,773,187,275,145,909
51,11,716,482,252,56,16,980,837,465,846
12,52,364,516,342,436,59,19,297,852,857
53,13,367,435,1012,234,875,320,993,353,88
14,54,737,192,188,673,730,106,491,203,175
55,15,598,686,566,810,195,977,662,563,552
16,56,837,11,51,465,716,252,980,919,73
17,57,660,299,167,982,154,81,41,1,137
18,58,301,246,123,343,109,776,202,349,213
19,59,436,297,857,29,69,852,184,176,272
60,20,191,146,784,601,243,492,467,21,61
21,61,467,20,60,726,194,79,39,440,202
22,62,133,163,1006,464,494,868,730,370,293
23,63,127,534,504,927,404,398,844,513,1010
64,24,913,33,73,666,114,456,429,418,941
25,65,105,1003,254,32,72,910,967,924,385
26,66,856,845,598,747,303,452,573,443,415
27,67,929,861,546,695,236,655,839,217,198
68,28,532,302,939,916,1035,419,6,46,261
29,69,297,857,852,19,59,436,309,818,869
30,70,168,155,79,39,83,726,298,519,533
31,71,441,959,579,134,850,895,1020,773,275
72,32,254,518,719,126,381,523,979,152,65
33,73,919,24,64,666,114,456,429,904,16
74,34,111,788,407,375,638,648,506,300,799
35,75,806,569,1014,174,85,511,770,376,419
36,76,292,359,259,164,927,825,735,988,743
77,37,128,3,43,120,290,156,985,198,657
38,78,138,150,1015,885,119,992,864,906,577
39,79,726,168,83,30,70,558,21,61,171
0,40,153,95,326,469,1038,181,341,669,963
1,41,81,520,508,89,216,107,276,137,182
2,42,240,215,100,306,526,169,392,110,753
3,43,128,37,77,120,1005,744,451,600,632
4,44,109,48,8,229,207,225,1,41,81
45,5,100,169,825,258,240,259,407,735,1026
6,46,261,309,1035,419,274,806,348,334,99
47,7,880,1025,537,218,536,550,263,426,131
48,8,109,229,207,4,44,152,910,82,535
9,49,165,368,685,721,688,560,432,248,543
50,10,412,237,671,130,773,187,275,145,909
51,11,716,482,252,56,16,980,837,465,846
12,52,364,516,342,436,59,19,297,852,857
53,13,367,435,1012,234,875,320,993,353,88
14,54,737,192,188,673,730,106,491,203,175
55,15,598,686,566,810,195,977,662,563,552
16,56,837,11,51,465,716,252,980,919,73
17,57,660,299,167,982,154,81,41,1,137
18,58,301,246,123,343,109,776,202,349,213
19,59,436,297,857,29,69,852,184,176,272
60,20,191,146,784,601,243,492,467,21,61
21,61,467,20,60,726,194,79,39,440,202
22,62,133,163,1006,464,494,868,730,370,293
